Title,human_beta,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
Helpers--Electricians,0.0,Manufacture of electrical equipment,Specialised construction activities,Manufacture of electrical equipment,Manufacture of electrical equipment,3,,Manufacture of electrical equipment
Boilermakers,0.0,"Electricity, gas, steam and air conditioning supply",Other manufacturing,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",3,,"Electricity, gas, steam and air conditioning supply"
"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.0,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Construction of buildings,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3,,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
Adhesive Bonding Machine Operators and Tenders,0.0,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of rubber and plastic products,Repair and installation of machinery and equipment,3,,Repair and installation of machinery and equipment
"Meat, Poultry, and Fish Cutters and Trimmers",0.0,Fishing and aquaculture,Fishing and aquaculture,Fishing and aquaculture,"Crop and animal production, hunting and related service activities",3,,Fishing and aquaculture
Tire Builders,0.0,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of rubber and plastic products,"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers",3,,"Manufacture of motor vehicles, trailers and semi-trailers"
Engine and Other Machine Assemblers,0.0,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of machinery and equipment n.e.c.,Repair and installation of machinery and equipment,3,,Repair and installation of machinery and equipment
"Helpers--Installation, Maintenance, and Repair Workers",0.0,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Specialised construction activities,Repair and installation of machinery and equipment,3,,Repair and installation of machinery and equipment
Agricultural Equipment Operators,0.0,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",Manufacture of machinery and equipment n.e.c.,"Crop and animal production, hunting and related service activities",3,,"Crop and animal production, hunting and related service activities"
Writers and Authors,0.825,Publishing activities,Publishing activities,Publishing activities,Publishing activities,4,,Publishing activities
Animal Scientists,0.777777777777777,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Computer Programmers,0.705882352941176,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
Advertising Sales Agents,0.7,Advertising and market research,Advertising and market research,Advertising and market research,Advertising and market research,4,,Advertising and market research
Counter and Rental Clerks,0.6875,Rental and leasing activities,Rental and leasing activities,Rental and leasing activities,Rental and leasing activities,4,,Rental and leasing activities
Editors,0.642857142857142,Publishing activities,Publishing activities,Publishing activities,Publishing activities,4,,Publishing activities
Telephone Operators,0.625,Telecommunications,Telecommunications,Telecommunications,Telecommunications,4,,Telecommunications
Tax Preparers,0.625,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
"Tax Examiners and Collectors, and Revenue Agents",0.62,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Health Informatics Specialists,0.617647058823529,Human health activities,Human health activities,Human health activities,Human health activities,4,,Human health activities
"Philosophy and Religion Teachers, Postsecondary",0.608695652173913,Education,Education,Education,Education,4,,Education
"Credit Authorizers, Checkers, and Clerks",0.59375,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Compliance Officers,0.59375,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
"English Language and Literature Teachers, Postsecondary",0.59090909090909,Education,Education,Education,Education,4,,Education
Emergency Management Directors,0.58695652173913,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
"Court, Municipal, and License Clerks",0.583333333333333,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
"Foreign Language and Literature Teachers, Postsecondary",0.58,Education,Education,Education,Education,4,,Education
School Psychologists,0.578947368421052,Education,Education,Education,Education,4,,Education
Market Research Analysts and Marketing Specialists,0.576923076923077,Advertising and market research,Advertising and market research,Advertising and market research,Advertising and market research,4,,Advertising and market research
Public Relations Managers,0.575,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
Political Scientists,0.571428571428571,Scientific research and development,Scientific research and development,Scientific research and development,Scientific research and development,4,,Scientific research and development
Compliance Managers,0.566666666666666,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
Travel Agents,0.5625,"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities",4,,"Travel agency, tour operator and other reservation service and related activities"
Financial Examiners,0.558823529411764,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Telemarketers,0.541666666666666,Telecommunications,Telecommunications,Telecommunications,Telecommunications,4,,Telecommunications
Computer Network Support Specialists,0.538461538461538,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
Insurance Claims and Policy Processing Clerks,0.537037037037037,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,4,,Activities auxiliary to financial services and insurance activities
Security Managers,0.535714285714285,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
Public Safety Telecommunicators,0.527777777777777,Telecommunications,Telecommunications,Telecommunications,Telecommunications,4,,Telecommunications
Insurance Sales Agents,0.526315789473684,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,Activities auxiliary to financial services and insurance activities,4,,Activities auxiliary to financial services and insurance activities
Reservation and Transportation Ticket Agents and Travel Clerks,0.523809523809523,"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities",4,,"Travel agency, tour operator and other reservation service and related activities"
Telecommunications Engineering Specialists,0.519230769230769,Telecommunications,Telecommunications,Telecommunications,Telecommunications,4,,Telecommunications
Advertising and Promotions Managers,0.516666666666666,Advertising and market research,Advertising and market research,Advertising and market research,Advertising and market research,4,,Advertising and market research
Accountants and Auditors,0.516666666666666,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Search Marketing Strategists,0.513888888888888,Advertising and market research,Advertising and market research,Advertising and market research,Advertising and market research,4,,Advertising and market research
Librarians and Media Collections Specialists,0.5,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities",4,,"Libraries, archives, museums and other cultural activities"
Food Scientists and Technologists,0.5,Manufacture of food products,Manufacture of food products,Manufacture of food products,Manufacture of food products,4,,Manufacture of food products
Management Analysts,0.5,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
"Education Administrators, Postsecondary",0.5,Education,Education,Education,Education,4,,Education
Environmental Engineers,0.5,Civil engineering,Civil engineering,Civil engineering,Civil engineering,4,,Civil engineering
Computer and Information Research Scientists,0.5,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
Film and Video Editors,0.478260869565217,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",4,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.478260869565217,Education,Education,Education,Education,4,,Education
Computer Systems Analysts,0.477272727272727,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
Lawyers,0.477272727272727,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Gambling Managers,0.473684210526315,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
Park Naturalists,0.472222222222222,Forestry and logging,Forestry and logging,Forestry and logging,Forestry and logging,4,,Forestry and logging
"Transportation, Storage, and Distribution Managers",0.466666666666666,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Warehousing and support activities for transportation,Warehousing and support activities for transportation,4,,Warehousing and support activities for transportation
Appraisers and Assessors of Real Estate,0.466666666666666,Real estate activities,Real estate activities,Real estate activities,Real estate activities,4,,Real estate activities
Electrical and Electronics Drafters,0.466666666666666,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
Labor Relations Specialists,0.464285714285714,Employment activities,Employment activities,Employment activities,Employment activities,4,,Employment activities
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.461538461538461,Education,Education,Education,Education,4,,Education
Paralegals and Legal Assistants,0.458333333333333,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Clinical Research Coordinators,0.454545454545454,Scientific research and development,Scientific research and development,Scientific research and development,Scientific research and development,4,,Scientific research and development
"Education Administrators, Kindergarten through Secondary",0.453125,Education,Education,Education,Education,4,,Education
Software Developers,0.447368421052631,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
"Forestry and Conservation Science Teachers, Postsecondary",0.44,Forestry and logging,Forestry and logging,Forestry and logging,Forestry and logging,4,,Forestry and logging
"Education Teachers, Postsecondary",0.4375,Education,Education,Education,Education,4,,Education
Bill and Account Collectors,0.433333333333333,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Civil Engineering Technologists and Technicians,0.433333333333333,Civil engineering,Civil engineering,Civil engineering,Civil engineering,4,,Civil engineering
"Economics Teachers, Postsecondary",0.431818181818181,Education,Education,Education,Education,4,,Education
Zoologists and Wildlife Biologists,0.428571428571428,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Chemists,0.423076923076923,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,4,,Manufacture of chemicals and chemical products
Postmasters and Mail Superintendents,0.423076923076923,Postal and courier activities,Postal and courier activities,Postal and courier activities,Postal and courier activities,4,,Postal and courier activities
Real Estate Brokers,0.421052631578947,Real estate activities,Real estate activities,Real estate activities,Real estate activities,4,,Real estate activities
Judicial Law Clerks,0.421052631578947,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Marine Engineers and Naval Architects,0.416666666666666,Civil engineering,Civil engineering,Civil engineering,Civil engineering,4,,Civil engineering
Security Management Specialists,0.413043478260869,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
Gambling Cage Workers,0.411764705882352,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
Geothermal Production Managers,0.411764705882352,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",4,,"Electricity, gas, steam and air conditioning supply"
Real Estate Sales Agents,0.409090909090909,Real estate activities,Real estate activities,Real estate activities,Real estate activities,4,,Real estate activities
"Property, Real Estate, and Community Association Managers",0.407407407407407,Real estate activities,Real estate activities,Real estate activities,Real estate activities,4,,Real estate activities
Pharmacy Technicians,0.404761904761904,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,4,,Manufacture of basic pharmaceutical products and pharmaceutical preparations
Chief Sustainability Officers,0.388888888888888,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
"Computer Science Teachers, Postsecondary",0.384615384615384,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
Self-Enrichment Teachers,0.383333333333333,Education,Education,Education,Education,4,,Education
Civil Engineers,0.38235294117647,Civil engineering,Civil engineering,Civil engineering,Civil engineering,4,,Civil engineering
General and Operations Managers,0.38235294117647,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
Travel Guides,0.38235294117647,"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities",4,,"Travel agency, tour operator and other reservation service and related activities"
Radio Frequency Identification Device Specialists,0.38095238095238,Telecommunications,Telecommunications,Telecommunications,Telecommunications,4,,Telecommunications
Forest Fire Inspectors and Prevention Specialists,0.375,Forestry and logging,Forestry and logging,Forestry and logging,Forestry and logging,4,,Forestry and logging
Chemical Technicians,0.375,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,4,,Manufacture of chemicals and chemical products
Fashion Designers,0.375,Manufacture of wearing apparel,Manufacture of wearing apparel,Manufacture of wearing apparel,Manufacture of wearing apparel,4,,Manufacture of wearing apparel
Tutors,0.368421052631578,Education,Education,Education,Education,4,,Education
Landscape Architects,0.368421052631578,Services to buildings and landscape activities,Services to buildings and landscape activities,Services to buildings and landscape activities,Services to buildings and landscape activities,4,,Services to buildings and landscape activities
Preventive Medicine Physicians,0.366666666666666,Human health activities,Human health activities,Human health activities,Human health activities,4,,Human health activities
Foresters,0.36,Forestry and logging,Forestry and logging,Forestry and logging,Forestry and logging,4,,Forestry and logging
Forest and Conservation Technicians,0.357142857142857,Forestry and logging,Forestry and logging,Forestry and logging,Forestry and logging,4,,Forestry and logging
Spa Managers,0.357142857142857,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
Private Detectives and Investigators,0.352941176470588,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
"Special Education Teachers, Elementary School",0.35,Education,Education,Education,Education,4,,Education
"Special Education Teachers, Kindergarten",0.35,Education,Education,Education,Education,4,,Education
Chemical Engineers,0.346153846153846,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,4,,Manufacture of chemicals and chemical products
Audio and Video Technicians,0.344827586206896,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",4,,"Motion picture, video and television programme production, sound recording and music publishing activities"
Community Health Workers,0.344827586206896,Human health activities,Human health activities,Human health activities,Human health activities,4,,Human health activities
Computer Numerically Controlled Tool Programmers,0.34375,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4,,"Computer programming, consultancy and related activities"
Postal Service Mail Carriers,0.34090909090909,Postal and courier activities,Postal and courier activities,Postal and courier activities,Postal and courier activities,4,,Postal and courier activities
Chief Executives,0.338709677419354,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4,,Activities of head offices; management consultancy activities
Architectural and Engineering Managers,0.333333333333333,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,4,,Architectural and engineering activities; technical testing and analysis
Acute Care Nurses,0.333333333333333,Residential care activities,Residential care activities,Residential care activities,Residential care activities,4,,Residential care activities
Police Identification and Records Officers,0.333333333333333,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
First-Line Supervisors of Gambling Services Workers,0.333333333333333,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
"Bookkeeping, Accounting, and Auditing Clerks",0.316666666666666,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Gambling Surveillance Officers and Gambling Investigators,0.3125,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
Air Traffic Controllers,0.304347826086956,Air transport,Air transport,Air transport,Air transport,4,,Air transport
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.3,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
"Special Education Teachers, Middle School",0.3,Education,Education,Education,Education,4,,Education
Gambling Change Persons and Booth Cashiers,0.3,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
Detectives and Criminal Investigators,0.3,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
Agricultural Inspectors,0.295454545454545,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",4,,"Crop and animal production, hunting and related service activities"
Fitness and Wellness Coordinators,0.291666666666666,Human health activities,Human health activities,Human health activities,Human health activities,4,,Human health activities
Tour Guides and Escorts,0.289473684210526,"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities",4,,"Travel agency, tour operator and other reservation service and related activities"
"Special Education Teachers, Secondary School",0.2875,Education,Education,Education,Education,4,,Education
Music Directors and Composers,0.283333333333333,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",4,,"Motion picture, video and television programme production, sound recording and music publishing activities"
Food Science Technicians,0.28125,Manufacture of food products,Manufacture of food products,Manufacture of food products,Manufacture of food products,4,,Manufacture of food products
Customs and Border Protection Officers,0.272727272727272,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
Photonics Engineers,0.269230769230769,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products",4,,"Manufacture of computer, electronic and optical products"
Residential Advisors,0.266666666666666,Residential care activities,Residential care activities,Residential care activities,Residential care activities,4,,Residential care activities
Postal Service Clerks,0.261904761904761,Postal and courier activities,Postal and courier activities,Postal and courier activities,Postal and courier activities,4,,Postal and courier activities
Broadcast Technicians,0.258620689655172,Programming and broadcasting activities,Programming and broadcasting activities,Programming and broadcasting activities,Programming and broadcasting activities,4,,Programming and broadcasting activities
First-Line Supervisors of Housekeeping and Janitorial Workers,0.25,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,4,,Activities of households as employers of domestic personnel
Refuse and Recyclable Material Collectors,0.25,"Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery",4,,"Waste collection, treatment and disposal activities; materials recovery"
"Judges, Magistrate Judges, and Magistrates",0.238095238095238,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,4,,Legal and accounting activities
Police and Sheriff's Patrol Officers,0.233333333333333,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
"Farmers, Ranchers, and Other Agricultural Managers",0.233333333333333,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",4,,"Crop and animal production, hunting and related service activities"
Waiters and Waitresses,0.22,Food and beverage service activities,Food and beverage service activities,Food and beverage service activities,Food and beverage service activities,4,,Food and beverage service activities
Veterinarians,0.217391304347826,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Photonics Technicians,0.216666666666666,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products",4,,"Manufacture of computer, electronic and optical products"
Security Guards,0.214285714285714,Security and investigation activities,Security and investigation activities,Security and investigation activities,Security and investigation activities,4,,Security and investigation activities
"Camera Operators, Television, Video, and Film",0.208333333333333,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",4,,"Motion picture, video and television programme production, sound recording and music publishing activities"
Gambling and Sports Book Writers and Runners,0.204545454545454,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
Weatherization Installers and Technicians,0.2,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,4,,Repair and installation of machinery and equipment
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.166666666666666,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
Fish and Game Wardens,0.166666666666666,Fishing and aquaculture,Fishing and aquaculture,Fishing and aquaculture,Fishing and aquaculture,4,,Fishing and aquaculture
Animal Caretakers,0.159090909090909,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Chemical Plant and System Operators,0.157894736842105,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,4,,Manufacture of chemicals and chemical products
Log Graders and Scalers,0.153846153846153,Forestry and logging,Forestry and logging,Forestry and logging,Forestry and logging,4,,Forestry and logging
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.147058823529411,Postal and courier activities,Postal and courier activities,Postal and courier activities,Postal and courier activities,4,,Postal and courier activities
Couriers and Messengers,0.147058823529411,Postal and courier activities,Postal and courier activities,Postal and courier activities,Postal and courier activities,4,,Postal and courier activities
Veterinary Technologists and Technicians,0.14516129032258,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Heavy and Tractor-Trailer Truck Drivers,0.14516129032258,"Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers","Manufacture of motor vehicles, trailers and semi-trailers",4,,"Manufacture of motor vehicles, trailers and semi-trailers"
Veterinary Assistants and Laboratory Animal Caretakers,0.142857142857142,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Electricians,0.142857142857142,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
Gambling Dealers,0.142857142857142,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,4,,Gambling and betting activities
Food Batchmakers,0.14,Manufacture of food products,Manufacture of food products,Manufacture of food products,Manufacture of food products,4,,Manufacture of food products
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.125,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,4,,Repair and installation of machinery and equipment
Water and Wastewater Treatment Plant and System Operators,0.125,"Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply",4,,"Water collection, treatment and supply"
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.125,Manufacture of textiles,Manufacture of textiles,Manufacture of textiles,Manufacture of textiles,4,,Manufacture of textiles
Animal Control Workers,0.125,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Power Plant Operators,0.116666666666666,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
"Maintenance Workers, Machinery",0.111111111111111,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,4,,Repair and installation of machinery and equipment
Animal Trainers,0.105263157894736,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Textile Bleaching and Dyeing Machine Operators and Tenders,0.104166666666666,Manufacture of textiles,Manufacture of textiles,Manufacture of textiles,Manufacture of textiles,4,,Manufacture of textiles
Furniture Finishers,0.0909090909090909,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,4,,Manufacture of furniture
Septic Tank Servicers and Sewer Pipe Cleaners,0.0909090909090909,Sewerage,Sewerage,Sewerage,Sewerage,4,,Sewerage
Electrical and Electronic Equipment Assemblers,0.088235294117647,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
Animal Breeders,0.0833333333333333,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4,,Veterinary activities
Segmental Pavers,0.0833333333333333,Specialised construction activities,Specialised construction activities,Specialised construction activities,Specialised construction activities,4,,Specialised construction activities
Hydroelectric Plant Technicians,0.0714285714285714,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,4,,Manufacture of electrical equipment
Motion Picture Projectionists,0.0681818181818181,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",4,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"Radio, Cellular, and Tower Equipment Installers and Repairers",0.0666666666666666,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,4,,Repair and installation of machinery and equipment
Camera and Photographic Equipment Repairers,0.0666666666666666,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,4,,Repair and installation of machinery and equipment
