task_name,pct,all-MiniLM-L6-v2,all-mpnet-base-v2,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers/bert-base-nli-mean-tokens,num_models_agree,chat_gpt_4o,economic_activity_eurostat
"review, classify, and record survey data in preparation for computer analysis.",0.0222798400020846,"Computer programming, consultancy and related activities",Advertising and market research,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
"review, evaluate, and approve specifications for issuing and awarding bids.",0.0019543719300074,Advertising and market research,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
"revise existing marketing plans or campaigns for green products, technologies, or services.",0.0069054474860262,Advertising and market research,Advertising and market research,Advertising and market research,Services to buildings and landscape activities,3.0,,Advertising and market research
revise work to meet editorial approval or to fit time or space requirements.,0.011335357194043,Publishing activities,Publishing activities,Publishing activities,Architectural and engineering activities; technical testing and analysis,3.0,,Publishing activities
"revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",0.0330940313481257,Publishing activities,Publishing activities,Publishing activities,Other personal service activities,3.0,,Publishing activities
"rewrite original musical scores in different musical styles by changing rhythms, harmonies, or tempos.",0.0036481609360138,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Printing and reproduction of recorded media,3.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
schedule and maintain regular office hours to meet with students.,0.0024755377780094,Social work activities without accommodation,"Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",3.0,,"Office administrative, office support and other business support activities"
schedule appointments and maintain and update appointment calendars.,0.010814191346041,"Travel agency, tour operator and other reservation service and related activities","Office administrative, office support and other business support activities","Office administrative, office support and other business support activities","Office administrative, office support and other business support activities",3.0,,"Office administrative, office support and other business support activities"
secure commitments of participation or donation from individuals or corporate donors.,0.0024755377780094,Activities of membership organisations,"Insurance, reinsurance and pension funding, except compulsory social security",Activities of membership organisations,Activities of membership organisations,3.0,,Activities of membership organisations
seek out and learn new music suitable for live performance or recording.,0.0035178694740133,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Printing and reproduction of recorded media,3.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
select plays or scripts for production and determine how material should be interpreted and performed.,0.010814191346041,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Programming and broadcasting activities,3.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"select qualified job applicants or refer them to managers, making hiring recommendations when appropriate.",0.0037784523980143,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3.0,,Activities of head offices; management consultancy activities
"send, receive, and interpret coded messages.",0.0053419499420202,Programming and broadcasting activities,Programming and broadcasting activities,Programming and broadcasting activities,Information service activities,3.0,,Programming and broadcasting activities
"serve as liaisons between organizations, shareholders, and outside organizations.",0.0037784523980143,Activities of membership organisations,Activities of head offices; management consultancy activities,Activities of membership organisations,Activities of membership organisations,3.0,,Activities of membership organisations
"service and repair domestic electrical or gas appliances, such as clothes washers, refrigerators, stoves, and dryers.",0.0044299097080168,Repair of computers and personal and household goods,Repair of computers and personal and household goods,"Electricity, gas, steam and air conditioning supply",Repair of computers and personal and household goods,3.0,,Repair of computers and personal and household goods
"set credit policies, credit lines, procedures and standards in conjunction with senior managers.",0.0024755377780094,"Financial service activities, except insurance and pension funding",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3.0,,Activities of head offices; management consultancy activities
set prices or credit terms for goods or services based on forecasts of customer demand.,0.0087295279540331,Advertising and market research,"Wholesale trade, except of motor vehicles and motorcycles",Advertising and market research,Advertising and market research,3.0,,Advertising and market research
"set up and conduct chemical experiments, tests, and analyses, using techniques such as chromatography, spectroscopy, physical or chemical separation techniques, or microscopy.",0.0314002423421193,"Other professional, scientific and technical activities",Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,3.0,,Manufacture of chemicals and chemical products
"set up and operate specialized or standard test equipment to diagnose, test, or analyze the performance of electronic components, assemblies, or systems.",0.114265612174434,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
set up and oversee administrative policies and procedures for offices or organizations.,0.0020846633920079,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,3.0,,Activities of head offices; management consultancy activities
"set up, test, and adjust recording equipment for recording sessions and live performances.",0.0019543719300074,"Motion picture, video and television programme production, sound recording and music publishing activities",Printing and reproduction of recorded media,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",3.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
speak foreign languages to communicate with foreign visitors.,0.012638271814048,"Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities","Travel agency, tour operator and other reservation service and related activities",Warehousing and support activities for transportation,3.0,,"Travel agency, tour operator and other reservation service and related activities"
"speak to various groups, organizations, and clubs to promote the aims and activities of historical societies.",0.0075569047960287,"Libraries, archives, museums and other cultural activities","Libraries, archives, museums and other cultural activities",Activities of membership organisations,"Libraries, archives, museums and other cultural activities",3.0,,"Libraries, archives, museums and other cultural activities"
"specify power supply requirements and configuration, drawing on system performance expectations and design specifications.",0.0020846633920079,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Manufacture of electrical equipment,3.0,,"Electricity, gas, steam and air conditioning supply"
specify power supply requirements and configuration.,0.0156349754400594,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",Manufacture of electrical equipment,3.0,,"Electricity, gas, steam and air conditioning supply"
stay up-to-date on new regulations and current events regarding food science by reviewing scientific literature.,0.0031269950880118,Manufacture of food products,Manufacture of food products,Scientific research and development,Manufacture of food products,3.0,,Manufacture of food products
store food in designated containers and storage areas to prevent spoilage.,0.0268400411721019,Manufacture of food products,Food and beverage service activities,Manufacture of food products,Manufacture of food products,3.0,,Manufacture of food products
study animal and human health and physiological processes.,0.0023452463160089,Veterinary activities,Veterinary activities,Veterinary activities,Human health activities,3.0,,Veterinary activities
"study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and function.",0.0968065562663678,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",Scientific research and development,"Crop and animal production, hunting and related service activities",3.0,,"Crop and animal production, hunting and related service activities"
"study books, pictures, or examples of period clothing to determine styles worn during specific periods in history.",0.0044299097080168,Manufacture of wearing apparel,Manufacture of wearing apparel,Manufacture of wearing apparel,"Libraries, archives, museums and other cultural activities",3.0,,Manufacture of wearing apparel
"study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.",0.0088598194160336,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Manufacture of computer, electronic and optical products",3.0,,"Other professional, scientific and technical activities"
study communication code languages or foreign languages to translate intelligence.,0.0035178694740133,Education,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
"study constitution, statutes, decisions, regulations, and ordinances of quasi-judicial bodies to determine ramifications for cases.",0.0057328243280217,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Architectural and engineering activities; technical testing and analysis,3.0,,Legal and accounting activities
study job specifications to determine appropriate construction methods.,0.0020846633920079,Specialised construction activities,Specialised construction activities,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,3.0,,Specialised construction activities
"study object documentation or conduct standard chemical and physical tests to ascertain the object's age, composition, original appearance, need for treatment or restoration, and appropriate preservation method.",0.0156349754400594,"Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery","Waste collection, treatment and disposal activities; materials recovery",Manufacture of chemicals and chemical products,3.0,,"Waste collection, treatment and disposal activities; materials recovery"
"study organizational effectiveness, productivity, and efficiency, including the nature of workplace supervision and leadership.",0.0079477791820302,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,"Office administrative, office support and other business support activities",3.0,,Activities of head offices; management consultancy activities
"study physical principles of living cells or organisms and their electrical or mechanical energy, applying methods and knowledge of mathematics, physics, chemistry, or biology.",0.0040390353220153,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Computer programming, consultancy and related activities",3.0,,"Other professional, scientific and technical activities"
"study reactions of plants, animals, and marine species to parasites.",0.0041693267840158,Fishing and aquaculture,Fishing and aquaculture,Veterinary activities,Fishing and aquaculture,3.0,,Fishing and aquaculture
"study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.",0.0066448645620252,Construction of buildings,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
study the assets of criminal suspects to determine the flow of money from or to targeted groups.,0.0062539901760237,Security and investigation activities,Security and investigation activities,Security and investigation activities,Activities of extraterritorial organisations and bodies,3.0,,Security and investigation activities
suggest best methods of packaging or labeling products.,0.0019543719300074,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacture of paper and paper products,Advertising and market research,3.0,,Manufacture of paper and paper products
"supervise undergraduate or graduate teaching, internship, and research work.",0.0071660304100272,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Education,3.0,,"Other professional, scientific and technical activities"
"teach and conduct research in colleges, universities, museums, and other research agencies and schools.",0.0261885838620995,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities","Libraries, archives, museums and other cultural activities",3.0,,"Other professional, scientific and technical activities"
teach biomedical engineering or disseminate knowledge about the field through writing or consulting.,0.0164167242120623,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Scientific research and development,3.0,,"Other professional, scientific and technical activities"
teach classes and present self-help or information sessions on subjects related to education and career planning.,0.012377688890047,Education,Other personal service activities,Education,Education,3.0,,Education
"teach courses or seminars related to exercise or diet for patients, athletes, or community groups.",0.0181105132180688,Human health activities,Human health activities,Human health activities,"Travel agency, tour operator and other reservation service and related activities",3.0,,Human health activities
teach courses within their department.,0.0035178694740133,Education,Education,Education,Activities of head offices; management consultancy activities,3.0,,Education
teach in colleges and universities.,0.0031269950880118,Education,Education,Education,"Computer programming, consultancy and related activities",3.0,,Education
"teach personal development skills such as goal setting, independence, and self-advocacy.",0.0372633581321416,Education,Education,Education,Other personal service activities,3.0,,Education
"teach principles of medicine and medical and laboratory procedures to physicians, residents, students, and technicians.",0.0164167242120623,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.0,,"Other professional, scientific and technical activities"
teach writing classes.,0.0020846633920079,Education,Education,Publishing activities,Education,3.0,,Education
telephone or write letters to respond to correspondence from customers or to follow up initial sales contacts.,0.0052116584800198,Postal and courier activities,Postal and courier activities,Postal and courier activities,"Office administrative, office support and other business support activities",3.0,,Postal and courier activities
test and evaluate patients' physical and mental abilities and analyze medical data to determine realistic rehabilitation goals for patients.,0.0050813670180193,Human health activities,Human health activities,Human health activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.0,,Human health activities
"test electrical systems or continuity of circuits in electrical wiring, equipment, or fixtures, using testing devices, such as ohmmeters, voltmeters, or oscilloscopes, to ensure compatibility and safety of system.",0.0020846633920079,Architectural and engineering activities; technical testing and analysis,Manufacture of electrical equipment,Manufacture of electrical equipment,Manufacture of electrical equipment,3.0,,Manufacture of electrical equipment
test fabrics in inconspicuous places to determine whether solvents will damage dyes or fabrics.,0.0028664121640108,Manufacture of textiles,Manufacture of textiles,Manufacture of textiles,Undifferentiated goods- and services-producing activities of private households for own use,3.0,,Manufacture of textiles
test new and updated bioinformatics tools and software.,0.0070357389480267,Scientific research and development,Scientific research and development,Scientific research and development,"Computer programming, consultancy and related activities",3.0,,Scientific research and development
"test new products for flavor, texture, color, nutritional content, and adherence to government and industry standards.",0.0039087438600148,Manufacture of food products,Manufacture of food products,Manufacture of food products,Advertising and market research,3.0,,Manufacture of food products
test software systems or applications for software enhancements or new products.,0.0050813670180193,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities",3.0,,Architectural and engineering activities; technical testing and analysis
"test soils or materials to determine the adequacy and strength of foundations, concrete, asphalt, or steel.",0.0042996182460163,Civil engineering,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
test water sources for factors such as flow volume and contaminant presence.,0.0022149548540084,Water transport,"Water collection, treatment and supply","Water collection, treatment and supply","Water collection, treatment and supply",3.0,,"Water collection, treatment and supply"
"test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",0.23960599861891,Architectural and engineering activities; technical testing and analysis,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
"track, measure, or report on aspects of market risk for traded issues.",0.0075569047960287,Advertising and market research,Security and investigation activities,Advertising and market research,Advertising and market research,3.0,,Advertising and market research
train new employees on topics such as the proper operation of laboratory equipment.,0.0020846633920079,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,3.0,,"Other professional, scientific and technical activities"
"train workers in food preparation, and in service, sanitation, and safety procedures.",0.0044299097080168,Food and beverage service activities,Food and beverage service activities,Food and beverage service activities,Manufacture of food products,3.0,,Food and beverage service activities
transcribe data to worksheets and enter data into computer for use in preparing documents and adjusting accounts.,0.0035178694740133,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
"transcribe ideas for musical compositions into musical notation, using instruments, pen and paper, or computers.",0.0031269950880118,"Motion picture, video and television programme production, sound recording and music publishing activities",Printing and reproduction of recorded media,Printing and reproduction of recorded media,Printing and reproduction of recorded media,3.0,,Printing and reproduction of recorded media
"transcribe musical compositions and melodic lines to adapt them to a particular group, or to create a particular musical style.",0.0033875780120128,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities",Printing and reproduction of recorded media,3.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
treat diseases of female organs.,0.0056025328660212,Human health activities,Veterinary activities,Human health activities,Human health activities,3.0,,Human health activities
"troubleshoot problems involving office equipment, such as computer hardware and software.",0.138369532644525,Repair of computers and personal and household goods,Repair of computers and personal and household goods,Repair of computers and personal and household goods,"Computer programming, consultancy and related activities",3.0,,Repair of computers and personal and household goods
"troubleshoot robotic systems, using knowledge of microprocessors, programmable controllers, electronics, circuit analysis, mechanics, sensor or feedback systems, hydraulics, or pneumatics.",0.0029967036260113,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,"Computer programming, consultancy and related activities",3.0,,Repair and installation of machinery and equipment
tutor and assist children individually or in small groups to help them master assignments and to reinforce learning concepts presented by teachers.,0.0861226563823272,Education,"Creative, arts and entertainment activities",Education,Education,3.0,,Education
"type correspondence, reports, text and other written material from rough drafts, corrected copies, voice recordings, dictation or previous versions, using a computer, word processor, or typewriter.",0.0217586741540826,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Printing and reproduction of recorded media,Repair of computers and personal and household goods,3.0,,Printing and reproduction of recorded media
"use computers for various applications, such as database management or word processing.",0.0194134278380737,"Computer programming, consultancy and related activities","Office administrative, office support and other business support activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
"use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",0.0629307761462391,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Office administrative, office support and other business support activities",3.0,,"Computer programming, consultancy and related activities"
validate known intelligence with data from other sources.,0.0170681815220648,Security and investigation activities,Security and investigation activities,Security and investigation activities,Other manufacturing,3.0,,Security and investigation activities
"verify and adjust alignments and dimensions of parts, using gauges and tracing lathes.",0.0027361207020103,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Manufacture of rubber and plastic products,Repair and installation of machinery and equipment,3.0,,Repair and installation of machinery and equipment
"verify bibliographical data for materials, including author, title, publisher, publication date, and edition.",0.0020846633920079,Publishing activities,Information service activities,Publishing activities,Publishing activities,3.0,,Publishing activities
"verify dimensions and contours of models during hand-forming processes, using templates and measuring devices.",0.0117262315800445,Manufacture of paper and paper products,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
"verify dimensions of completed patterns, using templates, straightedges, calipers, or protractors.",0.0372633581321416,Specialised construction activities,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
"verify dimensions, alignments, and clearances of finished parts for conformance to specifications, using measuring instruments such as calipers, gauge blocks, micrometers, and dial indicators.",0.0841682844523198,Manufacture of machinery and equipment n.e.c.,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
"verify stability, interoperability, portability, security, or scalability of system architecture.",0.0501622128701906,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Security and investigation activities,3.0,,Architectural and engineering activities; technical testing and analysis
"visit establishments, such as pharmacies, to determine product sales.",0.0071660304100272,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Advertising and market research,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.0,,Manufacture of basic pharmaceutical products and pharmaceutical preparations
"weigh, measure, and mix ingredients according to recipes or personal judgment, using various kitchen utensils and equipment.",0.0634519419942411,Manufacture of food products,Food and beverage service activities,Manufacture of food products,Manufacture of food products,3.0,,Manufacture of food products
write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions.,0.0358301520501361,Information service activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
write and edit news stories from information collected by reporters and other sources.,0.0198043022240752,Publishing activities,Programming and broadcasting activities,Publishing activities,Publishing activities,3.0,,Publishing activities
write and present reports of research findings.,0.0217586741540826,Scientific research and development,"Other professional, scientific and technical activities",Scientific research and development,Scientific research and development,3.0,,Scientific research and development
write and record orders for merchandise or enter orders into computers.,0.0037784523980143,Repair of computers and personal and household goods,"Office administrative, office support and other business support activities",Repair of computers and personal and household goods,Repair of computers and personal and household goods,3.0,,Repair of computers and personal and household goods
"write and review grant proposals, journal articles, institutional reports, and publicity materials.",0.0109444828080415,Publishing activities,"Other professional, scientific and technical activities",Publishing activities,Publishing activities,3.0,,Publishing activities
"write articles, manuals, and other publications and assist in the distribution of promotional literature about programs and facilities.",0.079477791820302,Publishing activities,Publishing activities,Publishing activities,Warehousing and support activities for transportation,3.0,,Publishing activities
"write columns, editorials, commentaries, or reviews that interpret events or offer opinions.",0.0195437193000742,Publishing activities,Publishing activities,Publishing activities,Advertising and market research,3.0,,Publishing activities
"write commentaries, columns, or scripts, using computers.",0.0036481609360138,"Computer programming, consultancy and related activities",Publishing activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
write computer or microprocessor software programs.,0.0754387564982866,"Other professional, scientific and technical activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
write copy as part of layout.,0.0192831363760732,Printing and reproduction of recorded media,Publishing activities,Publishing activities,Publishing activities,3.0,,Publishing activities
write decisions on cases.,0.0196740107620747,Legal and accounting activities,Legal and accounting activities,Legal and accounting activities,Publishing activities,3.0,,Legal and accounting activities
write detailed analysis plans and descriptions of analyses and findings for research protocols or reports.,0.0590220322862242,Scientific research and development,Scientific research and development,Scientific research and development,Architectural and engineering activities; technical testing and analysis,3.0,,Scientific research and development
"write humorous material for publication, or for performances such as comedy routines, gags, and comedy shows.",0.101757631822386,"Creative, arts and entertainment activities",Publishing activities,"Creative, arts and entertainment activities","Creative, arts and entertainment activities",3.0,,"Creative, arts and entertainment activities"
write instructional articles on designated subjects.,0.0431264739221638,"Other professional, scientific and technical activities",Education,Education,Education,3.0,,Education
"write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",0.0319214081901213,Publishing activities,Publishing activities,Publishing activities,"Office administrative, office support and other business support activities",3.0,,Publishing activities
"write marketing content for green product web sites, brochures, or other communication media.",0.0027361207020103,Advertising and market research,Advertising and market research,Advertising and market research,Remediation activities and other waste management services,3.0,,Advertising and market research
write new scripts for broadcasts.,0.0028664121640108,Programming and broadcasting activities,Programming and broadcasting activities,Programming and broadcasting activities,Construction of buildings,3.0,,Programming and broadcasting activities
"write online blog entries that address news developments or offer additional information, opinions, or commentary on news events.",0.0019543719300074,Publishing activities,Publishing activities,Publishing activities,"Computer programming, consultancy and related activities",3.0,,Publishing activities
write original literary pieces.,0.0440385141561673,"Creative, arts and entertainment activities",Publishing activities,Publishing activities,Publishing activities,3.0,,Publishing activities
"write programs in the language of a machine's controller and store programs on media such as punch tapes, magnetic tapes, or disks.",0.172505895688655,Repair of computers and personal and household goods,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
write proposals to secure external funding or to partner with other companies.,0.0209769253820797,"Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding","Financial service activities, except insurance and pension funding",Activities of head offices; management consultancy activities,3.0,,"Financial service activities, except insurance and pension funding"
write reports or articles for web sites or newsletters related to environmental engineering issues.,0.0026058292400099,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,3.0,,"Other professional, scientific and technical activities"
write reports or notes to summarize testing procedures or outcomes for physicians or other medical professionals.,0.0187619705280712,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.0,,"Other professional, scientific and technical activities"
write reports or research proposals.,0.0476866750921812,Scientific research and development,Scientific research and development,Publishing activities,Scientific research and development,3.0,,Scientific research and development
"write reviews of literary, musical, or other artwork, based on knowledge, judgment, or experience.",0.0965459733423668,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities",Publishing activities,3.0,,"Creative, arts and entertainment activities"
write simple programs for computer-controlled machine tools.,0.0076871962580292,"Computer programming, consultancy and related activities",Repair and installation of machinery and equipment,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
"write technical papers or reports or prepare standards and specifications for processes, facilities, products, or tests.",0.0033875780120128,"Other professional, scientific and technical activities","Other professional, scientific and technical activities","Other professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,3.0,,"Other professional, scientific and technical activities"
"write words to fit musical compositions, including lyrics for operas, musical plays, and choral works.",0.0495107555601881,"Motion picture, video and television programme production, sound recording and music publishing activities","Motion picture, video and television programme production, sound recording and music publishing activities","Creative, arts and entertainment activities","Motion picture, video and television programme production, sound recording and music publishing activities",3.0,,"Motion picture, video and television programme production, sound recording and music publishing activities"
"write, review, or execute plans for testing new or established document management systems.",0.0109444828080415,Publishing activities,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis,3.0,,Architectural and engineering activities; technical testing and analysis
"write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",1.15386118747638,Warehousing and support activities for transportation,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",3.0,,"Computer programming, consultancy and related activities"
act as an advocate for farmers or farmers' groups.,0.0029967036260113,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",4.0,,"Crop and animal production, hunting and related service activities"
adapt instructional content or delivery methods for different levels or types of learners.,0.133939622936508,Education,Education,Education,Education,4.0,,Education
adapt instructional techniques to the age and skill levels of students.,0.0028664121640108,Education,Education,Education,Education,4.0,,Education
adapt software and accompanying technical documents to another language and culture.,0.0039087438600148,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",4.0,,"Computer programming, consultancy and related activities"
adapt the quantity of ingredients to match the amount of items to be baked.,0.0201951766100767,Manufacture of food products,Manufacture of food products,Manufacture of food products,Manufacture of food products,4.0,,Manufacture of food products
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0020846633920079,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,Repair and installation of machinery and equipment,4.0,,Repair and installation of machinery and equipment
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.0168075985980638,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,4.0,,Veterinary activities
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0023452463160089,Human health activities,Human health activities,Human health activities,Human health activities,4.0,,Human health activities
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0036481609360138,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",4.0,,"Crop and animal production, hunting and related service activities"
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0105536084220401,"Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities",4.0,,"Crop and animal production, hunting and related service activities"
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.051334836028195,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities,4.0,,Activities of head offices; management consultancy activities
